project,N,tp,fn,tn,fp,accuracy,precision,recall,f1,pass_accuracy,fail_accuracy,pass_rate,fail_rate,coin_accuracy,coin_f1,accuracy_improvement,out_vocab_C_ratio,out_vocab_T_ratio,out_vocab_combined_ratio
commons-jexl3-3.2.1-src,2946,2225,24,13,684,0.7597,0.76,0.99,0.8627,0.9893,0.0187,0.7634,0.2366,0.6402,0.7635,0.1195,0.27,0.52,0.38
commons-geometry-1.0-src,5438,4056,129,78,1175,0.7602,0.78,0.97,0.8615,0.9692,0.0623,0.7696,0.2304,0.6444,0.7687,0.1158,0.33,0.54,0.46
commons-dbutils-1.7,731,572,5,0,154,0.7825,0.79,0.99,0.878,0.9913,0.0,0.7893,0.2107,0.671,0.7916,0.1115,0.31,0.54,0.47
commons-imaging-1.0-alpha3-src,2858,2246,34,7,571,0.7883,0.8,0.99,0.8813,0.9851,0.0121,0.7978,0.2022,0.6798,0.7998,0.1085,0.3,0.52,0.44
springside4,2590,1770,84,39,697,0.6985,0.72,0.95,0.8193,0.9547,0.053,0.7158,0.2842,0.5907,0.7138,0.1078,0.25,0.44,0.36
commons-weaver-2.0-src,232,149,5,4,74,0.6595,0.67,0.97,0.7905,0.9675,0.0513,0.6638,0.3362,0.554,0.6644,0.1055,0.34,0.52,0.42
commons-net-3.8.0,3369,2175,58,42,1094,0.6581,0.67,0.97,0.7906,0.974,0.037,0.6628,0.3372,0.553,0.6624,0.1051,0.32,0.46,0.38
commons-configuration2-2.8.0-src,1253,789,56,39,369,0.6608,0.68,0.93,0.7878,0.9337,0.0956,0.6744,0.3256,0.556,0.6725,0.1048,0.28,0.52,0.39
async-http-client,163,111,5,1,46,0.6871,0.71,0.96,0.8132,0.9569,0.0213,0.7117,0.2883,0.5854,0.7085,0.1017,0.38,0.55,0.48
commons-rng-1.4-src,1641,1082,127,80,352,0.7081,0.75,0.89,0.8188,0.895,0.1852,0.7367,0.2633,0.6177,0.7412,0.0904,0.28,0.47,0.38
commons-jcs3-3.1-src,4562,3873,67,26,596,0.8547,0.87,0.98,0.9212,0.983,0.0418,0.8637,0.1363,0.7645,0.8634,0.0902,0.32,0.52,0.44
bcel-6.5.0-src,15379,12173,620,295,2291,0.8107,0.84,0.95,0.8932,0.9515,0.1141,0.8318,0.1682,0.7215,0.8328,0.0892,0.28,0.51,0.39
commons-lang3-3.12.0-src,12118,10274,412,90,1342,0.8553,0.88,0.96,0.9214,0.9614,0.0628,0.8818,0.1182,0.7929,0.8829,0.0624,0.2,0.43,0.31
commons-vfs-2.9.0,1072,700,80,14,278,0.666,0.72,0.9,0.7964,0.8974,0.0479,0.7276,0.2724,0.6093,0.7321,0.0567,0.33,0.52,0.44
spark,5280,4781,106,30,363,0.9112,0.93,0.98,0.9532,0.9783,0.0763,0.9256,0.0744,0.8595,0.924,0.0517,0.36,0.56,0.49
joda-time,27480,25386,322,142,1630,0.929,0.94,0.99,0.963,0.9875,0.0801,0.9355,0.0645,0.8816,0.9367,0.0474,0.29,0.53,0.47
jsoup,8002,7349,135,15,503,0.9203,0.94,0.98,0.9584,0.982,0.029,0.9353,0.0647,0.8801,0.936,0.0402,0.08,0.47,0.31
commons-validator-1.7,2616,1991,232,30,363,0.7726,0.85,0.9,0.87,0.8956,0.0763,0.8498,0.1502,0.7448,0.8496,0.0278,0.28,0.47,0.38
JSON-java,12911,12687,23,3,198,0.9829,0.98,1.0,0.9914,0.9982,0.0149,0.9844,0.0156,0.9681,0.9838,0.0148,0.23,0.54,0.47
scribejava,182,91,2,1,88,0.5055,0.51,0.98,0.6691,0.9785,0.0112,0.511,0.489,0.4987,0.506,0.0068,0.32,0.53,0.43
commons-beanutils-1.9.4,1708,860,143,44,661,0.5293,0.57,0.86,0.6815,0.8574,0.0624,0.5872,0.4128,0.5232,0.5947,0.0061,0.24,0.49,0.33
commons-numbers-1.0-src,39866,39571,46,16,233,0.993,0.99,1.0,0.9965,0.9988,0.0643,0.9938,0.0062,0.9875,0.9937,0.0055,0.16,0.33,0.28
http-request,4069,4042,9,0,18,0.9934,1.0,1.0,0.9967,0.9978,0.0,0.9956,0.0044,0.9914,0.9957,0.002,0.27,0.49,0.39
commons-pool2-2.11.1-src,11244,10375,784,16,69,0.9241,0.99,0.93,0.9605,0.9297,0.1882,0.9924,0.0076,0.9849,0.9924,-0.0608,0.41,0.58,0.54
commons-collections4-4.4-src,1389,512,705,30,142,0.3902,0.78,0.42,0.5473,0.4207,0.1744,0.8762,0.1238,0.7841,0.877,-0.3939,0.45,0.51,0.5
all,169099,149840,4213,1055,13991,0.8923,0.91,0.97,0.9427,0.9727,0.0701,0.911,0.089,0.8367,0.9103,0.0556,0.24,0.45,0.38
